# From Ionic SMT paper Fig. 3b
T[eV]     κ[erg/cm/s/K]
1.145e-1 3.480e+6
1.500e-1 4.455e+6
2.572e-1 7.532e+6
3.368e-1 9.948e+6
4.410e-1 1.314e+7
5.775e-1 1.770e+7
7.563e-1 2.371e+7
9.904e-1 3.222e+7
1.297e+0 4.390e+7
1.682e+0 6.052e+7
2.242e+0 8.535e+7
2.912e+0 1.127e+8
3.813e+0 1.561e+8
4.994e+0 2.195e+8
6.539e+0 3.130e+8
8.562e+0 4.553e+8
1.121e+1 6.604e+8
1.456e+1 9.352e+8
2.517e+1 1.953e+9
3.296e+1 2.793e+9
4.316e+1 4.121e+9
5.651e+1 6.219e+9
7.399e+1 9.547e+9
9.688e+1 1.499e+10
1.268e+2 2.429e+10
1.661e+2 3.745e+10
2.458e+2 8.470e+10
3.218e+2 1.453e+11
4.213e+2 2.527e+11
5.515e+2 4.445e+11
7.221e+2 7.909e+11
9.453e+2 1.415e+12
1.238e+3 2.562e+12
1.620e+3 4.571e+12
2.644e+3 1.407e+13
3.461e+3 2.582e+13
4.532e+3 4.781e+13
5.932e+3 8.877e+13
7.766e+3 1.662e+14
9.332e+3 2.521e+14
