# From TCCW 2 paper Fig. 7 top middle AA points
T[eV]    κ[erg/cm/s/K]
9.985e-3 1.162e+8
1.004e-2 1.815e+7
1.595e-2 7.662e+7
2.566e-2 3.991e+7
4.657e-2 3.123e+7
6.293e-2 7.375e+7
7.022e-2 3.156e+7
1.054e-1 3.113e+7
9.991e-2 1.468e+7
1.568e-1 1.457e+8
2.467e-1 2.848e+7
3.628e-1 3.280e+7
5.426e-1 3.322e+7
8.140e-1 2.671e+7
1.227e+0 3.892e+7
1.861e+0 6.280e+7
2.749e+0 8.967e+7
4.077e+0 1.456e+8
6.189e+0 2.184e+8
9.345e+0 3.092e+8
1.416e+1 4.812e+8
2.144e+1 7.612e+8
3.233e+1 1.311e+9
4.835e+1 2.288e+9
6.880e+1 3.832e+9
9.802e+1 7.216e+9
1.477e+2 1.601e+10
2.350e+2 4.115e+10
3.775e+2 1.119e+11
5.948e+2 2.968e+11
9.552e+2 8.514e+11
