# From iSMT paper Fig. 8
g        K_11(g)
1.297e-6 3.271e+0
1.871e-6 3.167e+0
2.985e-6 3.055e+0
4.400e-6 2.967e+0
6.969e-6 2.849e+0
1.027e-5 2.755e+0
1.627e-5 2.651e+0
2.346e-5 2.552e+0
3.744e-5 2.448e+0
5.551e-5 2.343e+0
8.740e-5 2.230e+0
1.260e-4 2.134e+0
2.032e-4 2.023e+0
2.943e-4 1.926e+0
4.743e-4 1.815e+0
7.003e-4 1.716e+0
1.096e-3 1.610e+0
1.635e-3 1.506e+0
2.687e-3 1.384e+0
3.891e-3 1.290e+0
6.209e-3 1.174e+0
9.261e-3 1.074e+0
1.450e-2 9.642e-1
2.204e-2 8.668e-1
3.553e-2 7.496e-1
5.246e-2 6.562e-1
8.295e-2 5.477e-1
1.249e-1 4.612e-1
2.030e-1 3.598e-1
3.029e-1 2.872e-1
4.719e-1 2.144e-1
7.210e-1 1.603e-1
1.102e+0 1.095e-1
1.620e+0 7.621e-2
2.266e+0 5.544e-2
3.118e+0 3.965e-2
4.244e+0 2.904e-2
6.004e+0 1.977e-2
8.172e+0 1.396e-2
1.070e+1 1.011e-2
1.429e+1 6.965e-3
1.908e+1 4.763e-3
2.499e+1 3.335e-3
3.272e+1 2.249e-3
4.204e+1 1.594e-3
5.298e+1 1.142e-3
6.676e+1 8.117e-4
8.413e+1 5.711e-4
1.060e+2 4.038e-4
1.336e+2 2.819e-4
1.683e+2 1.963e-4
2.121e+2 1.360e-4
2.622e+2 9.742e-5
3.241e+2 6.889e-5
4.007e+2 4.947e-5
4.952e+2 3.462e-5
6.122e+2 2.428e-5
7.567e+2 1.709e-5
9.175e+2 1.251e-5
