# From Ionic SMT paper Fig. 1b
T[eV]     σ[S/cm]
1.101e-1  1.995e+4
1.275e-1  1.959e+4
1.476e-1  1.926e+4
1.709e-1  1.896e+4
1.978e-1  1.872e+4
2.290e-1  1.850e+4
2.651e-1  1.834e+4
3.070e-1  1.817e+4
3.554e-1  1.807e+4
4.114e-1  1.794e+4
4.763e-1  1.793e+4
5.514e-1  1.793e+4
6.384e-1  1.793e+4
7.391e-1  1.798e+4
8.556e-1  1.814e+4
9.906e-1  1.825e+4
1.147e+0  1.845e+4
1.328e+0  1.871e+4
1.537e+0  1.902e+4
1.780e+0  1.939e+4
2.060e+0  1.984e+4
2.385e+0  2.035e+4
2.761e+0  2.094e+4
3.197e+0  2.161e+4
3.701e+0  2.239e+4
4.285e+0  2.329e+4
4.960e+0  2.432e+4
5.743e+0  2.547e+4
6.648e+0  2.683e+4
7.697e+0  2.834e+4
8.911e+0  3.013e+4
1.032e+1  3.213e+4
1.194e+1  3.438e+4
1.357e+1  3.657e+4
1.601e+1  3.958e+4
1.853e+1  4.257e+4
2.145e+1  4.556e+4
2.484e+1  4.870e+4
2.876e+1  5.219e+4
3.329e+1  5.579e+4
3.854e+1  5.986e+4
4.462e+1  6.426e+4
5.166e+1  6.899e+4
5.980e+1  7.489e+4
6.924e+1  8.165e+4
8.015e+1  8.947e+4
9.280e+1  9.839e+4
1.074e+2  1.085e+5
1.244e+2  1.200e+5
1.440e+2  1.331e+5
1.667e+2  1.484e+5
1.930e+2  1.662e+5
2.234e+2  1.869e+5
2.587e+2  2.114e+5
2.995e+2  2.401e+5
3.467e+2  2.740e+5
4.014e+2  3.162e+5
4.647e+2  3.656e+5
5.380e+2  4.245e+5
6.228e+2  4.929e+5
7.210e+2  5.723e+5
8.292e+2  6.676e+5
9.473e+2  7.700e+5
1.082e+3  8.947e+5
1.236e+3  1.040e+6
1.403e+3  1.202e+6
1.582e+3  1.383e+6
1.795e+3  1.605e+6
2.037e+3  1.867e+6
2.296e+3  2.155e+6
2.588e+3  2.492e+6
2.918e+3  2.879e+6
3.289e+3  3.337e+6
3.708e+3  3.869e+6
4.180e+3  4.493e+6
4.712e+3  5.217e+6
5.312e+3  6.066e+6
5.988e+3  7.071e+6
6.705e+3  8.156e+6
7.509e+3  9.440e+6
8.408e+3  1.090e+7
9.479e+3  1.267e+7
