# From TCCW 2 paper Fig. 7 top left (H) AA points
T[eV]    κe[erg/cm/s/K]
9.839e+2 2.073e+12
6.190e+2 6.978e+11
3.742e+2 2.236e+11
2.292e+2 8.516e+10
1.461e+2 3.012e+10
2.169e+1 7.356e+8
9.316e+1 1.040e+10
5.557e+1 4.058e+9
3.449e+1 1.838e+9
1.328e+1 3.864e+8
8.244e+0 2.080e+8
5.183e+0 1.299e+8
3.131e+0 8.955e+7
1.969e+0 6.328e+7
1.205e+0 5.315e+7
7.575e-1 3.850e+7
4.576e-1 3.003e+7
2.876e-1 2.342e+7
1.761e-1 1.782e+7
1.092e-1 1.497e+7
6.684e-2 1.355e+7
4.146e-2 1.166e+7
2.606e-2 1.055e+7
1.616e-2 1.054e+7
9.627e-3 1.451e+7
