# From TCCW 2 paper Fig. 7 top middle
T[eV]    κ[erg/cm/s/K]
1.077e-2 6.360e+6
1.335e-2 7.604e+6
1.883e-2 9.503e+6
2.540e-2 1.195e+7
3.147e-2 1.405e+7
3.900e-2 1.656e+7
4.833e-2 1.953e+7
6.199e-2 2.430e+7
8.506e-2 3.070e+7
1.682e-1 5.251e+7
2.485e-1 7.273e+7
3.080e-1 8.722e+7
3.817e-1 1.050e+8
4.730e-1 1.267e+8
5.861e-1 1.530e+8
7.263e-1 1.859e+8
9.000e-1 2.270e+8
1.115e+0 2.772e+8
1.382e+0 3.391e+8
1.712e+0 4.183e+8
2.122e+0 5.168e+8
2.630e+0 6.438e+8
3.259e+0 8.047e+8
4.038e+0 1.014e+9
5.004e+0 1.280e+9
6.201e+0 1.632e+9
7.684e+0 2.091e+9
9.522e+0 2.697e+9
1.180e+1 3.495e+9
1.462e+1 4.560e+9
1.812e+1 5.999e+9
2.245e+1 7.931e+9
2.782e+1 1.057e+10
3.448e+1 1.421e+10
4.272e+1 1.916e+10
5.294e+1 2.610e+10
6.560e+1 3.620e+10
8.129e+1 5.054e+10
1.007e+2 7.185e+10
1.248e+2 1.025e+11
1.547e+2 1.464e+11
1.917e+2 2.110e+11
2.375e+2 3.095e+11
2.944e+2 4.526e+11
3.648e+2 6.750e+11
4.520e+2 1.007e+12
5.601e+2 1.502e+12
6.874e+2 2.248e+12
8.353e+2 3.299e+12
9.763e+2 4.509e+12
