#Michael Murillo MLM data, Jan 30, 2024
T[eV] 			         κe[W/cm-KeV]
1.000000000000000056e-01 1.308658550000000000e+08
1.059560179999999990e-01 1.308166070000000000e+08
1.122667769999999982e-01 1.307650390000000000e+08
1.189534069999999971e-01 1.307110700000000000e+08
1.260382929999999957e-01 1.306546210000000000e+08
1.335451559999999982e-01 1.305956180000000000e+08
1.414991300000000007e-01 1.305339870000000000e+08
1.499268430000000041e-01 1.304704760000000000e+08
1.588565130000000047e-01 1.304034820000000000e+08
1.683180350000000047e-01 1.303336780000000000e+08
1.783430880000000107e-01 1.302610120000000000e+08
1.889652340000000097e-01 5.207417729999999702e+07
2.002200369999999896e-01 5.204277660000000149e+07
2.121451779999999898e-01 5.201019600000000000e+07
2.247805830000000060e-01 5.197643470000000298e+07
2.381685550000000040e-01 5.194149950000000000e+07
2.523539169999999832e-01 5.190540550000000000e+07
2.673841619999999808e-01 5.186852360000000149e+07
2.833096099999999895e-01 5.183024150000000000e+07
3.001835809999999771e-01 5.179033779999999702e+07
3.180625690000000172e-01 5.174996739999999851e+07
3.370064329999999941e-01 5.170869570000000298e+07
3.570785960000000259e-01 5.166662510000000149e+07
3.783462619999999887e-01 5.162388039999999851e+07
4.008806329999999862e-01 5.158061200000000000e+07
4.247571549999999974e-01 5.153699929999999702e+07
4.500557680000000227e-01 5.149398410000000149e+07
4.768611700000000009e-01 5.145044489999999851e+07
5.052631069999999891e-01 5.140732320000000298e+07
5.353566680000000355e-01 5.136434550000000000e+07
5.672426069999999543e-01 5.132304860000000149e+07
6.010276780000000096e-01 5.128250320000000298e+07
6.368249940000000331e-01 5.124477810000000149e+07
6.747544049999999460e-01 5.120971170000000298e+07
7.149428989999999651e-01 5.117796010000000149e+07
7.575250260000000457e-01 5.115117960000000149e+07
8.026433520000000321e-01 5.112925929999999702e+07
8.504489339999999897e-01 5.111250460000000149e+07
9.011018250000000229e-01 5.110170360000000149e+07
9.547716109999999645e-01 5.109981410000000149e+07
1.011637979999999937e+00 5.110729129999999702e+07
1.071891319999999981e+00 5.112572650000000000e+07
1.135733359999999914e+00 5.115643350000000000e+07
1.203377839999999921e+00 5.120026900000000000e+07
1.275051240000000030e+00 5.126108820000000298e+07
1.350993520000000059e+00 5.134211200000000000e+07
1.431458939999999957e+00 5.144181170000000298e+07
1.516716890000000095e+00 5.156337979999999702e+07
1.607052820000000048e+00 5.171054310000000149e+07
1.702769170000000054e+00 5.188831879999999702e+07
1.804186410000000018e+00 5.209655900000000000e+07
1.911644080000000079e+00 5.233985550000000000e+07
2.025501939999999834e+00 5.262285039999999851e+07
2.146141200000000193e+00 5.294456629999999702e+07
2.273965749999999897e+00 5.331564679999999702e+07
2.409403559999999889e+00 5.373577589999999851e+07
2.552908069999999974e+00 5.421154329999999702e+07
2.704959730000000118e+00 5.474246829999999702e+07
2.866067619999999927e+00 5.534129579999999702e+07
3.036771120000000046e+00 5.600435060000000149e+07
3.217641749999999856e+00 5.797203220000000298e+07
3.409285070000000140e+00 6.240653679999999702e+07
3.612342700000000129e+00 6.727374950000000000e+07
3.827494479999999921e+00 7.262615659999999404e+07
4.055460740000000008e+00 7.853058009999999404e+07
4.297004699999999566e+00 8.505676190000000596e+07
4.552935070000000195e+00 9.227596650000000000e+07
4.824108700000000027e+00 1.002823220000000000e+08
5.111433479999999641e+00 1.091795570000000000e+08
