#TCCW 2 paper Fig6a e-conductivtiy for H, using up triangles
T[eV]    σ[S/cm]
1.003e-2 7.735e+5
1.644e-2 3.523e+5
2.615e-2 2.233e+5
4.290e-2 1.419e+5
6.931e-2 9.276e+4
1.119e-1 5.297e+4
1.781e-1 3.786e+4
2.923e-1 2.905e+4
4.652e-1 2.277e+4
7.635e-1 1.845e+4
1.215e+0 1.507e+4
2.040e+0 1.225e+4
3.326e+0 1.208e+4
5.214e+0 1.200e+4
8.304e+0 1.447e+4
1.322e+1 1.780e+4
2.173e+1 2.387e+4
3.516e+1 3.368e+4
5.689e+1 5.144e+4
9.315e+1 8.870e+4
1.537e+2 1.435e+5
2.527e+2 2.504e+5
3.975e+2 4.609e+5
6.269e+2 8.096e+5
1.012e+3 1.525e+6
